InputID,TargetID,Distance
AN BURN F01 ,AN BURN F02 ,134.124304477749
AN BURN F01 ,AN BURN G04 ,1945.17186304362
AN BURN F01 ,AN BURN G05 ,2028.07626941601
AN BURN F01 ,AN BURN S01 ,1947.1337179088
AN BURN F01 ,AN BURN S02 ,2103.67054092226
AN BURN F01 ,AN UNBURN F01 ,2511.48602716943
AN BURN F01 ,AN UNBURN F02 ,2615.50623641383
AN BURN F01 ,AN UNBURN G01 ,2175.22203201015
AN BURN F01 ,AN UNBURN G03 ,2160.62304398394
AN BURN F01 ,AN UNBURN S01 ,2119.9438435287
AN BURN F01 ,AN UNBURN S02 ,2549.39348766429
AN BURN F01 ,BC BURN G01 ,138027.297064178
AN BURN F01 ,BC BURN G02 ,138082.095636658
AN BURN F01 ,BC BURN G03 ,138049.596108725
AN BURN F01 ,BC BURN R01 ,136967.072946214
AN BURN F01 ,BC BURN R02 ,137021.281734487
AN BURN F01 ,BC BURN S01 ,136494.297117209
AN BURN F01 ,BC BURN S02 ,136700.692222296
AN BURN F01 ,BC UNBURN R01,135018.136515126
AN BURN F01 ,BC UNBURN R02   ,137318.161379969
AN BURN F01 ,BC UNBURN S01 ,137256.603134886
AN BURN F01 ,BC UNBURN S02 ,137203.527781524
AN BURN F01 ,BO BURN G01 ,57898.8865184801
AN BURN F01 ,BO BURN G02 ,58064.1421891306
AN BURN F01 ,BO BURN O01 ,59313.9177430575
AN BURN F01 ,BO BURN O02 ,59149.5781478932
AN BURN F01 ,BO BURN O03 ,58998.4356536476
AN BURN F01 ,BO BURN S01 ,58537.1751604207
AN BURN F01 ,BO BURN S02 ,58741.9920179743
AN BURN F01 ,BO BURN S03 ,58872.5242635025
AN BURN F01 ,BO UNBURN G01 ,57828.2358266108
AN BURN F01 ,BO UNBURN G02 ,57814.9624415716
AN BURN F01 ,BO UNBURN O01 ,57757.7136041412
AN BURN F01 ,BO UNBURN O02 ,58424.8407589505
AN BURN F01 ,BO UNBURN S01 ,57135.919223114
AN BURN F01 ,BO UNBURN S02 ,57137.0183614575
AN BURN F01 ,BO UNBURN S03 ,57254.9118192759
AN BURN F01 ,HT BURN C01 ,108169.793230037
AN BURN F01 ,HT BURN C02,108037.884538705
AN BURN F01 ,HT BURN C03 ,108111.856214892
AN BURN F01 ,HT BURN G01 ,107977.762414368
AN BURN F01 ,HT BURN G02 ,108026.970462902
AN BURN F01 ,HT BURN G04 ,108219.582406326
AN BURN F01 ,HT BURN O01 ,107836.342855969
AN BURN F01 ,HT BURN O02 ,107589.733041029
AN BURN F01 ,HT BURN O03 ,107836.017539405
AN BURN F01 ,HT UNBURN C01 ,108673.969153907
AN BURN F01 ,HT UNBURN C02,108550.599824311
AN BURN F01 ,HT UNBURN G01 ,108933.049427576
AN BURN F01 ,HT UNBURN G02 ,109064.079778555
