"site","year","sample_name","site_name","reserve","status","habitat"
"F01","pan2020","pan2020_AN_F01_Burn","ANBURNF01","AN","Burn","Forest"
"F02","pan2020","pan2020_AN_F02_Unburn","ANUNBURNF02","AN","Unburn","Forest"
"G01","pan2020","pan2020_AN_G01_Unburn","ANUNBURNG01","AN","Unburn","Grassland"
"G03","pan2020","pan2020_AN_G03_Unburn","ANUNBURNG03","AN","Unburn","Grassland"
"G04","pan2020","pan2020_AN_G04_Burn","ANBURNG04","AN","Burn","Grassland"
"G05","pan2020","pan2020_AN_G05_Burn","ANBURNG05","AN","Burn","Grassland"
"S01","pan2020","pan2020_AN_S01_Burn","ANBURNS01","AN","Burn","Scrub"
"S01","pan2020","pan2020_AN_S01_Unburn","ANUNBURNS01","AN","Unburn","Scrub"
"S02","pan2020","pan2020_AN_S02_Unburn","ANUNBURNS02","AN","Unburn","Scrub"
"G01","pan2020","pan2020_BC_G01_Burn","BCBURNG01","BC","Burn","Grassland"
"R01","pan2020","pan2020_BC_R01_Burn","BCBURNR01","BC","Burn","Redwood"
"R01","pan2020","pan2020_BC_R01_Unburn","BCUNBURNR01","BC","Unburn","Redwood"
"R02","pan2020","pan2020_BC_R02_Burn","BCBURNR02","BC","Burn","Redwood"
"S01","pan2020","pan2020_BC_S01_Burn","BCBURNS01","BC","Burn","Scrub"
"S01","pan2020","pan2020_BC_S01_Unburn","BCUNBURNS01","BC","Unburn","Scrub"
"S02","pan2020","pan2020_BC_S02_Unburn","BCUNBURNS02","BC","Unburn","Scrub"
"G01","pan2020","pan2020_BO_G01_Burn","BOBURNG01","BO","Burn","Grassland"
"G01","pan2020","pan2020_BO_G01_Unburn","BOUNBURNG01","BO","Unburn","Grassland"
"G02","pan2020","pan2020_BO_G02_Burn","BOBURNG02","BO","Burn","Grassland"
"G02","pan2020","pan2020_BO_G02_Unburn","BOUNBURNG02","BO","Unburn","Grassland"
"O02","pan2020","pan2020_BO_O02_Burn","BOBURNO02","BO","Burn","Oak Woodland"
"O02","pan2020","pan2020_BO_O02_Unburn","BOUNBURNO02","BO","Unburn","Oak Woodland"
"S01","pan2020","pan2020_BO_S01_Burn","BOBURNS01","BO","Burn","Scrub"
"S01","pan2020","pan2020_BO_S01_Unburn","BOUNBURNS01","BO","Unburn","Scrub"
"S02","pan2020","pan2020_BO_S02_Burn","BOBURNS02","BO","Burn","Scrub"
"S02","pan2020","pan2020_BO_S02_Unburn","BOUNBURNS02","BO","Unburn","Scrub"
"S03","pan2020","pan2020_BO_S03_Burn","BOBURNS03","BO","Burn","Scrub"
"S03","pan2020","pan2020_BO_S03_Unburn","BOUNBURNS03","BO","Unburn","Scrub"
"C01","pan2020","pan2020_HT_C01_Unburn","HTUNBURNC01","HT","Unburn","Chamise"
"C02","pan2020","pan2020_HT_C02_Burn","HTBURNC02","HT","Burn","Chamise"
"C02","pan2020","pan2020_HT_C02_Unburn","HTUNBURNC02","HT","Unburn","Chamise"
"C03","pan2020","pan2020_HT_C03_Burn","HTBURNC03","HT","Burn","Chamise"
"G01","pan2020","pan2020_HT_G01_Burn","HTBURNG01","HT","Burn","Grassland"
"G01","pan2020","pan2020_HT_G01_Unburn","HTUNBURNG01","HT","Unburn","Grassland"
"G02","pan2020","pan2020_HT_G02_Unburn","HTUNBURNG02","HT","Unburn","Grassland"
"G04","pan2020","pan2020_HT_G04_Burn","HTBURNG04","HT","Burn","Grassland"
"O01","pan2020","pan2020_HT_O01_Burn","HTBURNO01","HT","Burn","Oak Woodland"
"O01","pan2020","pan2020_HT_O01_Unburn","HTUNBURNO01","HT","Unburn","Oak Woodland"
"O03","pan2020","pan2020_HT_O03_Burn","HTBURNO03","HT","Burn","Oak Woodland"
"O03","pan2020","pan2020_HT_O03_Unburn","HTUNBURNO03","HT","Unburn",NA
"G01","pan2020","pan2020_ML_G01_Burn","MLBURNG01","ML","Burn","Grassland"
"G02","pan2020","pan2020_ML_G02_Burn","MLBURNG02","ML","Burn","Grassland"
"O01","pan2020","pan2020_ML_O01_Burn","MLBURNO01","ML","Burn","Oak Woodland"
"O02","pan2020","pan2020_ML_O02_Burn","MLBURNO02","ML","Burn","Oak Woodland"
"O04","pan2020","pan2020_ML_O04_Unburn","MLUNBURNO04","ML","Unburn","Oak Woodland"
"O05","pan2020","pan2020_ML_O05_Unburn","MLUNBURNO05","ML","Unburn","Oak Woodland"
"S01","pan2020","pan2020_ML_S01_Burn","MLBURNS01","ML","Burn","Serpentine"
"S01","pan2020","pan2020_ML_S01_Unburn","MLUNBURNS01","ML","Unburn","Serpentine"
"S02","pan2020","pan2020_ML_S02_Unburn","MLUNBURNS02","ML","Unburn","Serpentine"
"C01","pan2020","pan2020_QR_C01_Burn","QRBURNC01","QR","Burn","Chamise"
"C02","pan2020","pan2020_QR_C02_Burn","QRBURNC02","QR","Burn","Chamise"
"G01","pan2020","pan2020_QR_G01_Burn","QRBURNG01","QR","Burn","Grassland"
"G03","pan2020","pan2020_QR_G03_Burn","QRBURNG03","QR","Burn","Grassland"
"O01","pan2020","pan2020_QR_O01_Burn","QRBURNO01","QR","Burn","Oak Woodland"
"O02","pan2020","pan2020_QR_O02_Burn","QRBURNO02","QR","Burn","Oak Woodland"
"F01","pan2021","pan2021_AN_F01_Burn","ANBURNF01","AN","Burn","Forest"
"F01","pan2021","pan2021_AN_F01_Unburn","ANUNBURNF01","AN","Unburn","Forest"
"F02","pan2021","pan2021_AN_F02_Burn","ANBURNF02","AN","Burn","Forest"
"F02","pan2021","pan2021_AN_F02_Unburn","ANUNBURNF02","AN","Unburn","Forest"
"G01","pan2021","pan2021_AN_G01_Unburn","ANUNBURNG01","AN","Unburn","Grassland"
"G03","pan2021","pan2021_AN_G03_Unburn","ANUNBURNG03","AN","Unburn","Grassland"
"G04","pan2021","pan2021_AN_G04_Burn","ANBURNG04","AN","Burn","Grassland"
"G05","pan2021","pan2021_AN_G05_Burn","ANBURNG05","AN","Burn","Grassland"
"S01","pan2021","pan2021_AN_S01_Burn","ANBURNS01","AN","Burn","Scrub"
"S01","pan2021","pan2021_AN_S01_Unburn","ANUNBURNS01","AN","Unburn","Scrub"
"S02","pan2021","pan2021_AN_S02_Burn","ANBURNS02","AN","Burn","Scrub"
"S02","pan2021","pan2021_AN_S02_Unburn","ANUNBURNS02","AN","Unburn","Scrub"
"G01","pan2021","pan2021_BC_G01_Burn","BCBURNG01","BC","Burn","Grassland"
"G02","pan2021","pan2021_BC_G02_Burn","BCBURNG02","BC","Burn","Grassland"
"G03","pan2021","pan2021_BC_G03_Burn","BCBURNG03","BC","Burn","Grassland"
"R01","pan2021","pan2021_BC_R01_Burn","BCBURNR01","BC","Burn","Redwood"
"R01","pan2021","pan2021_BC_R01_Unburn","BCUNBURNR01","BC","Unburn","Redwood"
"R02","pan2021","pan2021_BC_R02_Burn","BCBURNR02","BC","Burn","Redwood"
"S01","pan2021","pan2021_BC_S01_Burn","BCBURNS01","BC","Burn","Scrub"
"S01","pan2021","pan2021_BC_S01_Unburn","BCUNBURNS01","BC","Unburn","Scrub"
"S02","pan2021","pan2021_BC_S02_Burn","BCBURNS02","BC","Burn","Scrub"
"S02","pan2021","pan2021_BC_S02_Unburn","BCUNBURNS02","BC","Unburn","Scrub"
"G01","pan2021","pan2021_BO_G01_Burn","BOBURNG01","BO","Burn","Grassland"
"G01","pan2021","pan2021_BO_G01_Unburn","BOUNBURNG01","BO","Unburn","Grassland"
"G02","pan2021","pan2021_BO_G02_Burn","BOBURNG02","BO","Burn","Grassland"
"G02","pan2021","pan2021_BO_G02_Unburn","BOUNBURNG02","BO","Unburn","Grassland"
"O01","pan2021","pan2021_BO_O01_Burn","BOBURNO01","BO","Burn","Oak Woodland"
"O01","pan2021","pan2021_BO_O01_Unburn","BOUNBURNO01","BO","Unburn","Oak Woodland"
"O02","pan2021","pan2021_BO_O02_Burn","BOBURNO02","BO","Burn","Oak Woodland"
"O02","pan2021","pan2021_BO_O02_Unburn","BOUNBURNO02","BO","Unburn","Oak Woodland"
"O03","pan2021","pan2021_BO_O03_Burn","BOBURNO03","BO","Burn","Oak Woodland"
"S01","pan2021","pan2021_BO_S01_Burn","BOBURNS01","BO","Burn","Scrub"
"S01","pan2021","pan2021_BO_S01_Unburn","BOUNBURNS01","BO","Unburn","Scrub"
"S02","pan2021","pan2021_BO_S02_Burn","BOBURNS02","BO","Burn","Scrub"
"S02","pan2021","pan2021_BO_S02_Unburn","BOUNBURNS02","BO","Unburn","Scrub"
"S03","pan2021","pan2021_BO_S03_Burn","BOBURNS03","BO","Burn","Scrub"
"S03","pan2021","pan2021_BO_S03_Unburn","BOUNBURNS03","BO","Unburn","Scrub"
"C01","pan2021","pan2021_HT_C01_Burn","HTBURNC01","HT","Burn","Chamise"
"C01","pan2021","pan2021_HT_C01_Unburn","HTUNBURNC01","HT","Unburn","Chamise"
"C02","pan2021","pan2021_HT_C02_Burn","HTBURNC02","HT","Burn","Chamise"
"C02","pan2021","pan2021_HT_C02_Unburn","HTUNBURNC02","HT","Unburn","Chamise"
"C03","pan2021","pan2021_HT_C03_Burn","HTBURNC03","HT","Burn","Chamise"
"G01","pan2021","pan2021_HT_G01_Burn","HTBURNG01","HT","Burn","Grassland"
"G01","pan2021","pan2021_HT_G01_Unburn","HTUNBURNG01","HT","Unburn","Grassland"
"G02","pan2021","pan2021_HT_G02_Burn","HTBURNG02","HT","Burn","Grassland"
"G02","pan2021","pan2021_HT_G02_Unburn","HTUNBURNG02","HT","Unburn","Grassland"
"G04","pan2021","pan2021_HT_G04_Burn","HTBURNG04","HT","Burn","Grassland"
"O01","pan2021","pan2021_HT_O01_Burn","HTBURNO01","HT","Burn","Oak Woodland"
"O02","pan2021","pan2021_HT_O02_Burn","HTBURNO02","HT","Burn","Oak Woodland"
"O02","pan2021","pan2021_HT_O02_Unburn","HTUNBURNO02","HT","Unburn","Oak Woodland"
"O03","pan2021","pan2021_HT_O03_Burn","HTBURNO03","HT","Burn","Oak Woodland"
"G01","pan2021","pan2021_ML_G01_Burn","MLBURNG01","ML","Burn","Grassland"
"G02","pan2021","pan2021_ML_G02_Burn","MLBURNG02","ML","Burn","Grassland"
"G04","pan2021","pan2021_ML_G04_Unburn","MLUNBURNG04","ML","Unburn","Grassland"
"G05","pan2021","pan2021_ML_G05_Unburn","MLUNBURNG05","ML","Unburn","Grassland"
"O01","pan2021","pan2021_ML_O01_Burn","MLBURNO01","ML","Burn","Oak Woodland"
"O02","pan2021","pan2021_ML_O02_Burn","MLBURNO02","ML","Burn","Oak Woodland"
"O04","pan2021","pan2021_ML_O04_Burn","MLBURNO04","ML","Burn","Oak Woodland"
"O04","pan2021","pan2021_ML_O04_Unburn","MLUNBURNO04","ML","Unburn","Oak Woodland"
"O05","pan2021","pan2021_ML_O05_Unburn","MLUNBURNO05","ML","Unburn","Oak Woodland"
"S01","pan2021","pan2021_ML_S01_Unburn","MLUNBURNS01","ML","Unburn","Serpentine"
"S02","pan2021","pan2021_ML_S02_Burn","MLBURNS02","ML","Burn","Serpentine"
"S02","pan2021","pan2021_ML_S02_Unburn","MLUNBURNS02","ML","Unburn","Serpentine"
"C01","pan2021","pan2021_QR_C01_Burn","QRBURNC01","QR","Burn","Chamise"
"C02","pan2021","pan2021_QR_C02_Burn","QRBURNC02","QR","Burn","Chamise"
"O01","pan2021","pan2021_QR_O01_Burn","QRBURNO01","QR","Burn","Oak Woodland"
"O02","pan2021","pan2021_QR_O02_Burn","QRBURNO02","QR","Burn","Oak Woodland"
"O03","pan2021","pan2021_QR_O03_Burn","QRBURNO03","QR","Burn","Oak Woodland"
